HB030,HH010,HH021,HH030,HH031,HH040,HH050,HH060,HH061,HH070,HH071,HH081,HH091,HS011,HS021,HS031,HS040,HS050,HS060,HS070,HS080,HS090,HS100,HS110,HS120,HS130,HS140,HS150,HS160,HS170,HS180,HS190,HY010,HY020,HY022,HY023,HY040G,HY040N,HY050G,HY050N,HY060G,HY070G,HY080G,HY081G,HY090G,HY090N,HY100G,HY110G,HY110N,HY120G,HY130G,HY131G,HY140G,HY145N,HY170G,DB090,AP,SL,M_K
108429,1,1,2,1993,2,1,,200.0,416.5,0,1,1,,3.0,,1,1,1,1,1,1,1,1,3,2000,2,,2,2,2,2,13671.0,10227.4,10071.4,10071.4,0.0,0.0,156.0,156.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0,200,0,0,3243.6,0,0.0,236.13575,6,4,1
108430,1,1,5,1995,2,1,,300.0,178.0,0,1,1,,3.0,,1,1,1,1,1,1,1,1,3,3000,2,,2,2,2,2,45352.67,34917.74,34410.65,34410.65,0.0,0.0,156.0,156.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0,75,0,0,10359.93,-546,0.0,1245.80244,5,5,1
108431,4,1,3,2000,1,1,,1000.0,620.0,0,1,1,3.0,,,2,1,2,1,1,1,1,1,1,3500,1,,2,2,2,2,109375.65,83265.91,82226.82,82226.82,0.0,0.0,156.0,156.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0,0,0,0,26109.74,3120,0.0,1181.5176800000002,10,1,1
108432,1,1,4,1990,2,1,,150.0,475.33,0,1,1,,3.0,,1,1,1,1,1,1,1,1,3,5000,2,,2,2,2,1,76067.25,57923.91,55646.6,55646.6,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0,75,0,0,18068.34,0,0.0,158.72529,10,6,1
108433,4,1,3,2005,2,1,,300.0,400.0,0,1,1,,3.0,,1,1,2,1,1,1,1,1,3,5000,2,,2,2,1,1,45774.58,35884.26,34636.26,34636.26,0.0,0.0,1248.0,1248.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0,0,0,0,9890.32,648,0.0,1602.2449199999999,2,2,1
108435,3,1,3,1978,1,2,,100.0,279.17,0,1,1,,3.0,,2,2,2,1,1,1,1,2,1,2000,2,,2,2,2,2,28843.08,23739.24,21863.68,17067.52,415.0,328.1,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0,0,0,0,5103.84,280,0.0,508.69707999999997,6,7,2
108436,4,1,4,1986,2,1,,500.0,700.0,0,1,1,,3.0,,1,1,1,1,1,1,1,1,3,5000,2,,1,1,2,2,210742.19,162176.46,162176.46,160086.87,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0,0,0,0,48565.73,903,0.0,320.41597,2,2,1
108441,4,1,2,2007,2,1,,600.0,330.25,0,1,1,2.0,3.0,1.0,2,2,2,1,1,1,1,1,1,1500,1,1.0,2,2,2,2,8997.3,7173.34,6653.34,6653.34,0.0,0.0,520.0,520.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0,0,0,0,1823.96,742,0.0,1749.3856399999997,10,1,1
108443,4,1,2,2005,2,1,,400.0,400.0,0,1,1,,3.0,,1,1,1,1,1,1,1,1,4,1500,3,,2,2,2,2,27153.76,20595.25,20239.63,20239.63,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0,0,0,700,6558.51,886,0.0,717.37461,2,2,1
108444,4,1,3,2004,2,1,,,330.83,0,1,1,,3.0,,1,1,1,1,1,1,1,3,3,2000,3,,2,2,2,2,48751.01,37062.42,37062.42,37062.42,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0,0,0,0,11688.59,-12,0.0,341.95212999999995,10,1,1
